Club,Ball Speed (mph),Club Speed (mph),Launch Angle (deg),Spin Rate (rpm),Carry (yds),Total (yds),Club Path (deg),Face Angle (deg),Face to Path (deg),Spin Axis (deg),Side Distance (yds)
Driver,136.1,97.3,10.1,3044,204,218,-3.6,2.9,6.1,9.2,19
Driver,138.1,98.5,10.8,3144,247,264,-2.6,3.9,6.8,10.7,24
Driver,136.6,97.7,10.3,3072,216,231,-3.3,3.2,6.3,9.6,21
Driver,138.4,98.8,10.9,3160,254,271,-2.4,4.1,7.0,10.9,25
Driver,136.2,97.4,10.1,3052,207,222,-3.5,3.0,6.1,9.3,20
Driver,137.7,98.3,10.7,3124,238,255,-2.8,3.7,6.7,10.4,23
Driver,137.0,97.8,10.4,3088,223,238,-3.1,3.4,6.4,9.8,21
Driver,138.2,98.7,10.9,3152,250,268,-2.5,4.0,6.9,10.8,25
Driver,136.0,97.3,10.1,3040,202,217,-3.6,2.9,6.0,9.1,19
Driver,137.9,98.5,10.8,3136,243,260,-2.6,3.9,6.8,10.5,24
Driver,136.8,97.8,10.3,3080,219,235,-3.2,3.3,6.3,9.7,21
Driver,137.4,98.1,10.6,3108,231,248,-2.9,3.6,6.6,10.1,22
