Club,Ball Speed (mph),Club Speed (mph),Launch Angle (deg),Spin Rate (rpm),Carry (yds),Total (yds),Club Path (deg),Face Angle (deg),Face to Path (deg),Spin Axis (deg),Side Distance (yds)
Driver,149.4,100.3,12.6,2394,243,260,0.2,4.0,3.4,3.2,6
Driver,151.4,101.5,13.3,2494,256,273,1.2,5.0,4.1,4.7,11
Driver,149.9,100.7,12.8,2422,247,264,0.5,4.3,3.6,3.6,8
Driver,151.7,101.8,13.4,2510,258,276,1.4,5.2,4.3,4.9,12
Driver,149.5,100.4,12.6,2402,244,261,0.3,4.1,3.4,3.3,7
Driver,151.0,101.3,13.2,2474,253,271,1.0,4.8,4.0,4.4,10
Driver,150.3,100.8,12.9,2438,249,266,0.7,4.5,3.7,3.8,8
Driver,151.5,101.7,13.4,2502,257,274,1.3,5.1,4.2,4.8,12
Driver,149.3,100.3,12.6,2390,243,259,0.2,4.0,3.3,3.1,6
Driver,151.2,101.5,13.3,2486,255,272,1.2,5.0,4.1,4.5,11
Driver,150.1,100.8,12.8,2430,248,265,0.6,4.4,3.6,3.7,8
Driver,150.7,101.1,13.1,2458,251,269,0.9,4.7,3.9,4.1,9
