Club,Ball Speed (mph),Club Speed (mph),Launch Angle (deg),Spin Rate (rpm),Carry (yds),Total (yds),Club Path (deg),Face Angle (deg),Face to Path (deg),Spin Axis (deg),Side Distance (yds)
Driver,146.0,99.5,12.0,2557,233,249,-0.7,3.8,4.1,4.7,9
Driver,148.0,100.8,12.7,2657,254,271,0.3,4.8,4.8,6.2,14
Driver,146.6,99.9,12.2,2585,239,255,-0.4,4.0,4.3,5.1,11
Driver,148.3,101.0,12.8,2673,257,275,0.4,4.9,4.9,6.4,15
Driver,146.2,99.7,12.0,2565,235,251,-0.6,3.8,4.1,4.8,10
Driver,147.6,100.5,12.6,2637,249,267,0.1,4.6,4.7,5.9,13
Driver,146.9,100.1,12.3,2601,242,259,-0.3,4.2,4.4,5.3,12
Driver,148.2,100.9,12.8,2665,255,273,0.4,4.8,4.9,6.3,15
Driver,145.9,99.5,11.9,2553,232,248,-0.8,3.7,4.0,4.6,9
Driver,147.8,100.7,12.6,2649,252,270,0.2,4.7,4.7,6.0,14
Driver,146.7,100.0,12.2,2593,240,257,-0.4,4.1,4.3,5.2,11
Driver,147.3,100.3,12.4,2621,246,263,-0.1,4.4,4.5,5.6,13
